Course ID,Student ID,Term,Grade
26,68873841,Summer 2015,A
27,68873841,Summer 2017,A+
28,68873841,Winter 2013,A+
43,27430903,Fall 2012,B-
53,27430903,Fall 2020,A+
57,24621215,Summer 2014,F
58,24621215,Winter 2017,B+
59,24621215,Winter 2016,B-
60,24621215,Winter 2014,A+
89,54371636,Fall 2016,F
92,54371636,Fall 2011,F
98,15611569,Fall 2014,C
104,15611569,Fall 2014,B+
109,24503406,Summer 2018,B-
173,24503406,Winter 2011,C
174,24503406,Fall 2019,C
178,24503406,Fall 2019,B-
185,78042522,Fall 2019,A
186,78042522,Summer 2016,B-
187,78042522,Winter 2016,B+
190,95739952,Winter 2019,A+
191,95739952,Winter 2011,B
40005,91291680,Fall 2019,A+
43001,91291680,Winter 2015,B
44002,91291680,Fall 2015,B+
44003,91291680,Winter 2011,B
45085,33844984,Winter 2016,B-
45884,87223465,Fall 2018,F
45885,87223465,Summer 2013,B
46443,11163036,Winter 2020,B
46444,11163036,Winter 2020,C
47353,11163036,Winter 2016,F
47360,98552867,Summer 2019,A
47361,98552867,Summer 2018,A-
47363,98552867,Fall 2011,B-
47367,75570789,Winter 2011,A-
47368,75570789,Summer 2015,F
47369,75570789,Winter 2015,A
47371,13869929,Winter 2015,A-
47372,13869929,Winter 2013,A
48073,13869929,Fall 2020,A+
48544,13869929,Summer 2020,B+
48720,48806759,Fall 2011,B
48817,48806759,Fall 2015,B-
48824,48806759,Summer 2019,B
48827,97802210,Fall 2017,B+
48828,97802210,Fall 2017,A-
48831,57592017,Fall 2013,A
235,57592017,Summer 2015,B+
237,89654421,Winter 2018,B-
238,89654421,Summer 2012,B
239,89654421,Summer 2013,B+
241,89654421,Fall 2013,A-
243,60289084,Winter 2012,A-
244,60289084,Fall 2019,F
46445,70010145,Fall 2011,A+
46446,70010145,Summer 2017,A-
246,70010145,Summer 2013,A
247,70010145,Winter 2019,B
253,61087399,Winter 2017,A-
254,61087399,Fall 2017,B-
257,61087399,Summer 2017,B
273,51393881,Fall 2017,A-
274,51393881,Summer 2020,A
277,51393881,Winter 2011,B-
46448,78319623,Winter 2011,B+
46449,78319623,Summer 2012,B+
46450,78319623,Winter 2013,A
317,92063401,Winter 2019,B
318,92063401,Fall 2011,B
319,92063401,Winter 2020,B+
323,62555186,Winter 2015,A+
325,62555186,Summer 2019,A
326,62555186,Summer 2014,A+
327,62555186,Fall 2014,B+
333,57227031,Fall 2018,A
337,57227031,Winter 2019,C
345,57227031,Winter 2019,A-
37543,57227031,Summer 2016,A-
40014,78772284,Fall 2018,B+
40015,78772284,Fall 2015,B-
361,16614319,Fall 2012,A+
384,16614319,Fall 2013,A
428,83533892,Winter 2011,B-
448,83533892,Winter 2018,C
505,83533892,Fall 2019,A
522,83533892,Summer 2013,A
586,36925199,Winter 2020,A+
605,36925199,Winter 2014,F
627,36925199,Fall 2011,B+
649,36925199,Winter 2017,B
679,24646721,Winter 2018,B+
680,24646721,Fall 2020,B-
46452,24646721,Summer 2017,B-
46453,24646721,Summer 2015,F
46455,90161667,Winter 2014,F
46456,90161667,Fall 2016,A+
46457,90161667,Winter 2013,C
48415,90161667,Fall 2012,A-
48419,55005099,Fall 2012,A+
48910,89687720,Winter 2012,C
48911,89687720,Winter 2012,A-
705,89687720,Summer 2020,C
706,89687720,Fall 2012,A+
708,97894763,Fall 2014,A+
709,97894763,Summer 2012,A-
711,20528458,Summer 2011,F
713,30915333,Summer 2015,C
714,30915333,Winter 2014,B
47200,10743147,Summer 2011,B-
47218,10743147,Summer 2011,B-
48356,15405996,Summer 2016,B-
48359,73544005,Winter 2011,A-
49708,55787776,Winter 2018,A
49711,55787776,Winter 2020,A-
716,70300599,Fall 2019,A+
717,70300599,Summer 2013,A-
720,47325245,Winter 2012,C
721,47325245,Fall 2011,B-
726,47325245,Summer 2015,C
727,47325245,Winter 2020,B-
729,16994710,Summer 2020,B-
737,16994710,Summer 2013,B+
739,48246898,Fall 2018,B-
740,48246898,Fall 2014,B-
741,48246898,Fall 2012,C
742,48246898,Winter 2016,F
744,18053660,Winter 2012,B-
745,18053660,Winter 2012,A
746,18053660,Summer 2020,B+
747,18053660,Fall 2014,A-
749,91940977,Fall 2011,F
750,91940977,Summer 2015,A+
752,91940977,Winter 2019,B+
755,25979384,Winter 2013,A
756,25979384,Fall 2014,F
757,25979384,Summer 2020,B+
761,26231073,Fall 2020,A+
762,26231073,Summer 2012,B+
763,26231073,Winter 2018,C
764,26231073,Summer 2018,A+
785,48102906,Winter 2013,A-
787,45064978,Summer 2018,B+
790,45064978,Summer 2014,A-
796,57687587,Fall 2012,C
799,53680547,Fall 2018,A
801,44592012,Summer 2015,A
804,87926534,Winter 2012,A
805,87926534,Fall 2011,F
818,87926534,Fall 2012,A
820,13501941,Fall 2014,B
821,13501941,Winter 2019,A-
823,13372769,Winter 2018,A
827,40723675,Summer 2018,C
828,40723675,Winter 2016,B-
829,40723675,Fall 2012,F
830,40723675,Summer 2013,B+
832,61458092,Fall 2011,A-
833,61458092,Summer 2016,B+
840,61458092,Fall 2012,B-
40043,33165588,Summer 2018,B+
40044,33165588,Fall 2012,A+
40045,33165588,Fall 2013,B
40046,33165588,Fall 2011,B
46458,91322868,Winter 2017,F
