Course ID,Topic Name,Topic Link
26,accounting principles,http%3A%2F%2Fdbpedia.org%2Fresource%2FAccounting
35,financial reporting,http%3A%2F%2Fdbpedia.org%2Fresource%2FFinancial_statement
53,transfer pricing,http%3A%2F%2Fdbpedia.org%2Fresource%2FTransfer_pricing
55,Canada,http%3A%2F%2Fdbpedia.org%2Fresource%2FCanada
60,financial reporting,http%3A%2F%2Fdbpedia.org%2Fresource%2FFinancial_statement
106,larceny,http%3A%2F%2Fdbpedia.org%2Fresource%2FLarceny
106,Sarbanes-Oxley Act,http%3A%2F%2Fdbpedia.org%2Fresource%2FSarbanes%E2%80%93Oxley_Act
109,CGA,http%3A%2F%2Fdbpedia.org%2Fresource%2FCertified_General_Accountant
235,life insurance,http%3A%2F%2Fdbpedia.org%2Fresource%2FLife_insurance
236,life insurance,http%3A%2F%2Fdbpedia.org%2Fresource%2FLife_insurance
237,financial mathematics,http%3A%2F%2Fdbpedia.org%2Fresource%2FMathematical_finance
237,Casualty Actuarial Society,http%3A%2F%2Fdbpedia.org%2Fresource%2FCasualty_Actuarial_Society
241,contingency theory,http%3A%2F%2Fdbpedia.org%2Fresource%2FSituational_leadership_theory
241,ruin theory,http%3A%2F%2Fdbpedia.org%2Fresource%2FRuin_theory
244,Casualty Actuarial Society,http%3A%2F%2Fdbpedia.org%2Fresource%2FCasualty_Actuarial_Society
257,homophobia,http%3A%2F%2Fdbpedia.org%2Fresource%2FHomophobia
257,structural inequality,http%3A%2F%2Fdbpedia.org%2Fresource%2FStructural_inequality
260,THE PRACTICE,http%3A%2F%2Fdbpedia.org%2Fresource%2FThe_Practice
47243,Indigenism,http%3A%2F%2Fdbpedia.org%2Fresource%2FIndigenism
49577,Caribbean,http%3A%2F%2Fdbpedia.org%2Fresource%2FCaribbean
49577,Caribbean,http%3A%2F%2Fdbpedia.org%2Fresource%2FCaribbean
49577,political economy,http%3A%2F%2Fdbpedia.org%2Fresource%2FPolitical_economy
49577,Caribbean,http%3A%2F%2Fdbpedia.org%2Fresource%2FCaribbean
2044,feminism,http%3A%2F%2Fdbpedia.org%2Fresource%2FFeminism
2536,Art Therapy,http%3A%2F%2Fdbpedia.org%2Fresource%2FArt_therapy
49605,microfluidics,http%3A%2F%2Fdbpedia.org%2Fresource%2FMicrofluidics
49605,biology,http%3A%2F%2Fdbpedia.org%2Fresource%2FBiology
49605,DNA,http%3A%2F%2Fdbpedia.org%2Fresource%2FDNA
49605,microfluidics,http%3A%2F%2Fdbpedia.org%2Fresource%2FMicrofluidics
